A58,10071,"Cosna River, AK: Cosna River Airport",64.5,-151.6666667,AK
A59,10072,"Ivatuk, AK: Ivatuk Airport",68.48777778,-155.7575,AK
A61,10074,"Cape Sarichef, AK: Cape Sarichef Airport",54.58333333,-164.9125,AK
A62,10075,"Taylor Mountain Mine, AK: Taylor Mountain",60.86777778,-157.3919444,AK
A63,10076,"Yukon Charley Rivvers, AK: Coal Creek",65.31111111,-143.1352778,AK
A65,10078,"Karluk Portage, AK: Karluk Portage Airport",57.53833333,-154.1644444,AK
A66,10079,"Hope, AK: Hope Airport",60.90555556,-149.6238889,AK
A67,10080,"Viekoda Bay, AK: Viekoda Bay Airport",57.84944444,-153.1152778,AK
A69,10082,"Cold Bay, AK: Cathedral Strip",55.74,-162.1252778,AK
A70,10083,"Village Islands, AK: Village Islands Airport",57.77416667,-153.5447222,AK
A71,10084,"Homer, AK: Bear Cove Farm",59.73833333,-151.03,AK
A72,10085,"Chinitna Bay, AK: Chinitna Bay Airport",59.83333333,-152.5847222,AK
A73,10086,"McKinley Park, AK: McKinley National Park",63.7325,-148.9105556,AK
A74,10087,"Nanwalek, AK: Dog Fish Bay",59.24111111,-151.8772222,AK
A75,10088,"Malina Bay, AK: Malina Bay Airport",58.17194444,-152.8941667,AK
A76,10089,"Red Fox Bay, AK: Red Fox Bay Airport",58.46444444,-152.5930556,AK
A77,10090,"Shearwater, AK: Shearwater Airport",57.34333333,-152.8972222,AK
A78,10091,"Cape Simpson, AK: Lake",71.03,-154.4436111,AK
A79,10092,"Cape Simpson, AK: Cape Simpson No. 1",71.50166667,-154.0338889,AK
A80,10093,"Cape Simpson, AK: Cape Simpson No. 7",70.57388889,-155.3213889,AK
A81,10094,"Aglaq, AK: Cape Simpson #1",70.66277778,-154.8366667,AK
A82,10095,"Nikiski, AK: Nikiski Private Airstrip",60.69027778,-151.2888889,AK
A83,10096,"Petrof Point, AK: Petrof Point Airport",59.37638889,-150.765,AK
A84,10097,"Denali, AK: Denali West Lodge Private",63.75555556,-147.93,AK
A85,10098,"Big River, AK: Big River Airport",61.85944444,-154.2766667,AK
A87,10100,"Carry Inlet, AK: Carry Inlet Airport",58.58305556,-152.4458333,AK
A89,10102,"Montague Island, AK: Montague Island Airport",59.925,-147.5166667,AK
A90,10103,"Shannon Pond, AK: Shannon Pond Airport",59.03916667,-158.4638889,AK
A91,10104,"Omalik Lagoon, AK: Omalik Lagoon Airport",69.15555556,-163.4972222,AK
A92,10105,"Omolik Lagoon, AK: Omolik Lagoon Airport",69.14805556,-163.5102778,AK
A93,10106,"Bradley Lake Project, AK: Bradley Lake Project Airport",59.79166667,-151.2666667,AK
A94,10107,"Barrow, AK: Ice Strip",70.57416667,-155.3180556,AK
A94,10108,"Barrow, AK: Ice Strip",70.31194444,-153.2491667,AK
A94,10109,"Barrow, AK: Ice Strip",70.98083333,-157.095,AK
A97,10110,"Akulik, AK: Akulik Air Strip",68.98555556,-163.4797222,AK
A98,10111,"Deadfall, AK: Deadfall Air Strip",69.17083333,-163.2563889,AK
A99,10112,"Eagle Creek, AK: Eagle Creek Airport",68.67666667,-162.6469444,AK
AA1,10113,"Bethel, AK: Ice Kong",59.95277778,-162.6169444,AK
AA4,10116,"Kachemak Bay, AK: Glacier Split",59.63333333,-151.2083333,AK
